gppd_idnr,name,latitude,longitude,total_no2,total_weighted_no2
USA0059926,Alpine Power Plant,45.0637,-84.8253,0.0,0.0
USA0001891,Syl Laskin,47.5306,-92.1619,0.0,0.0
USA0056238,Groton Generating Station,45.3735,-98.0987,0.0,0.0
USA0057881,Pioneer Generating Station,48.2325,-103.9528,0.0,0.0
USA0057943,Lonesome Creek Station,47.7967,-103.5786,0.0671993238402305,0.4696151435968513
USA0054476,Sumas Power Plant,48.9905,-122.2733,0.0,0.0
USA0055818,Frederickson Power LP,47.0861,-122.3657,2.138930995381552,4.687377460429744
USA0055700,Mint Farm Generating Station,46.1388,-122.9855,1.3656052536844232,2.813341035845989
USA0056227,Port Westward,46.1789,-123.172,2.723088596062666,3.164875426471074
USA0055482,Goldendale Generating Station,45.8114,-120.833,0.0,0.0
USA0054761,Hermiston Generating Plant,45.8042,-119.37,6.233965484784074,8.908951239328758
USA0007953,Evander Andrews Power Complex,43.1792,-115.7343,0.5537795854854768,1.4758843922162266
USA0057028,Langley Gulch Power Plant,43.9044,-116.8197,0.0,0.0
USA0058503,Carty Generating Station,45.6986,-119.8131,4.48746037244422,4.7077115481789145
USA0007350,Coyote Springs,45.848,-119.6739,0.7712538082356631,2.1003234570232867
USA0055544,Klamath Expansion Project,42.1727,-121.8144,0.0,0.0
USA0056532,Colusa Generating Station,39.3661,-122.27,8.110358319143344,9.112544620164446
USA0055813,Yuba City Energy Center,39.1392,-121.6387,0.0,0.0
USA0010349,Greenleaf 2 Power Plant,39.1365,-121.6397,0.0,0.0
USA0055855,Wolfskill Energy Center,38.2285,-122.0752,0.0,0.0
USA0055626,Lambie Energy Center,38.2216,-121.8683,0.0,0.0
USA0055625,Creed Energy Center,38.2422,-121.8547,0.0,0.0
USA0055627,Goose Haven Energy Center,38.2268,-121.8433,0.0,0.0
USA0056476,Gateway Generating Station,38.0175,-121.7587,11.939652011502396,15.38608852503727
USA0057267,Marsh Landing Generating Station,38.0169,-121.765,18.405569511759044,18.373850592284956
USA0055963,Riverview Energy Center,38.0144,-121.7907,0.0,0.0
USA0055393,Metcalf Energy Center,37.2207,-121.7457,13.647931945071667,13.78522444151264
USA0055748,Los Esteros Critical Energy Center,37.425,-121.9319,0.0,0.0
USA0056026,Donald Von Raesfeld Power Plant,37.3767,-121.9508,0.0,0.0
USA0057483,Mariposa Energy Project,37.7892,-121.6019,0.291616581231694,1.57024917278635
USA0055933,Tracy Combined Cycle Power Plant,37.7107,-121.4906,0.0,0.0
USA0056135,Ripon Generation Station,37.7315,-121.116,0.0,0.0
USA0056078,Walnut Energy Center,37.4878,-120.8956,2.028209098687367,5.10332167739828
USA0007315,Almond Power Plant,37.5744,-120.985,0.0,0.0
USA0010034,Gilroy Power Plant,37.0001,-121.5367,0.0,0.0
USA0055810,Gilroy Peaking Energy Center,36.999,-121.5363,0.0,0.0
USA0010294,King City Power Plant,36.225,-121.1278,0.0,0.0
USA0050865,Salinas River Cogeneration,35.9515,-120.8679,0.0,0.0
USA0050131,Coalinga Cogeneration,36.1807,-120.3885,0.0,0.0
USA0050750,Coalinga Cogeneration Facility,36.1703,-120.3641,0.0,0.0
USA0056803,Panoche Energy Center,36.6514,-120.5833,2.7746829544631852,4.074313575052749
USA0055807,Henrietta Peaker,36.2397,-119.9044,0.0,0.0
USA0055698,Hanford Energy Park Peaker,36.2701,-119.6481,0.0,0.0
USA0002330,Fort Churchill,39.1281,-119.1322,0.2743910808273411,1.0463297412936483
USA0002336,Tracy,39.5625,-119.525,27.51912020283133,29.218936170108385
USA0057978,Lodi Energy Center,38.0881,-121.3875,0.0,0.0
USA0007552,SPA Cogen 3,38.511,-121.4735,0.0,0.0
USA0056298,Roseville Energy Park,38.7928,-121.3811,0.0,0.0
USA0055847,Feather River Energy Center,39.1093,-121.6093,0.0,0.0
USA0006013,Olive,34.1764,-118.3147,0.0,0.0
USA0057901,El Segundo Energy Center LLC,33.9106,-118.425,25.082886731063354,25.940940644961383
USA0000356,AES Redondo Beach LLC,33.8504,-118.395,146.66671465470745,138.01606845921225
USA0000422,Glenarm,34.126,-118.1494,0.0,0.0
USA0010169,Carson Cogeneration,33.8759,-118.2491,0.0,0.0
USA0057515,Walnut Creek Energy Park,34.0087,-117.9449,38.192848829355235,39.14170424588767
USA0000331,Etiwanda Generating Station,34.0912,-117.5266,36.83316002998462,36.382829722786575
USA0055518,High Desert Power Plant,34.5953,-117.3647,24.133064524103414,24.200550940545064
USA0010761,Las Vegas Generating Station,36.2319,-115.1222,0.0,0.0
USA0002322,Clark (NVE),36.0875,-115.0507,107.62354248176726,100.22004189198262
USA0055322,Chuck Lenzie Generating Station,36.3837,-114.9218,62.50932150820256,51.02101113239941
USA0055841,Silverhawk,36.4078,-114.9606,10.777751858983528,12.737663779099483
USA0055514,Apex Generating Station,36.416,-114.9609,5.49097871089068,9.13441006803932
USA0007082,Harry Allen,36.4306,-114.9024,11.896032478386857,12.042490398100956
USA0056482,Black Mountain Generating Station,35.0361,-114.1594,0.0,0.0
USA0055177,South Point Energy Center,34.8678,-114.5317,9.761082423486528,10.53174341089174
USA0055077,Desert Star Energy Center,35.7889,-114.9942,8.641462665813805,7.938210465347833
USA0057074,Ivanpah 1,35.5331,-115.4525,0.0,0.0
USA0057073,Ivanpah 2,35.5561,-115.4686,0.0,0.0
USA0055687,Higgins Generating Station,35.6139,-115.3561,5.926456002235095,8.21865622951472
USA0057075,Ivanpah 3,35.5808,-115.4825,0.0,0.0
USA0056569,Niland Gas Turbine Plant,33.2388,-115.5045,0.028104625185478082,0.43913963978228443
USA0055295,Blythe Energy Inc,33.6157,-114.6865,3.392741988244806,4.692692369933529
USA0055282,Arlington Valley Energy Facility,33.3417,-112.8897,10.139766457283514,11.992359236158647
USA0055306,Gila River Power Station,32.975,-112.6944,6.0591343189354,9.061389780032414
USA0054694,Yuma Cogeneration Associates,32.7288,-114.6541,0.0,0.0
USA0000389,El Centro,32.8022,-115.54,0.0,0.0
USA0057555,Pio Pico Energy Center,32.5739,-116.9178,0.0,0.0
USA0055540,Chula Vista Energy Center,32.5917,-117.0586,0.0,0.0
USA0057001,El Cajon Energy Center,32.7961,-116.9721,0.0,0.0
USA0055853,Inland Empire Energy Center,33.7388,-117.1704,29.53216568699721,27.759722816985573
USA0054749,Goal Line LP,33.1185,-117.0995,0.0,0.0
USA0055538,Escondido Energy Center,33.1261,-117.1172,0.0,0.0
USA0056232,Miramar Energy Facility,32.8769,-117.1664,0.0,0.0
USA0000358,Mountainview Generating Station,34.0818,-117.2418,107.1559637594587,107.9722126062448
USA0055951,Agua Mansa Power Plant,34.0414,-117.3603,0.0,0.0
USA0056143,Riverside Energy Resource Center,33.9636,-117.4528,0.0,0.0
USA0057027,Canyon Power Plant,33.8581,-117.8617,0.0,0.0
USA0000315,AES Alamitos LLC,33.7688,-118.1009,415.23888407005154,316.2665609356775
USA0000341,Long Beach Generation LLC,33.7641,-118.2248,0.0,0.0
USA0000350,Ormond Beach,34.1292,-119.1689,83.58321745957012,68.21509620924444
USA0055656,Pastoria Energy Facility  LLC,34.9556,-118.844,12.813119975519708,13.861931555368823
USA0010650,Badger Creek Limited,35.4837,-119.0299,0.0,0.0
USA0054768,Live Oak Limited,35.4837,-119.0298,0.0,0.0
USA0010649,Bear Mountain Limited,35.4192,-118.9266,0.0,0.0
USA0058122,Delano Energy Center,35.7909,-119.2945,0.0,0.0
USA0050612,McKittrick Limited,35.3195,-119.662,0.0,0.0
USA0055182,Sunrise Power LLC,35.2097,-119.585,8.731867647193685,7.7968311266839345
USA0055089,Taft Cogeneration Facility,29.9888,-90.4599,17.606602654452516,17.262121715782968
USA0001439,Houma,29.5806,-90.7225,0.0,0.0
USA0058478,LEPA Unit No. 1,29.6911,-91.1928,0.0,0.0
USA0001464,Big Cajun 1,30.6739,-91.3556,0.0,0.0
USA0056108,T J Labbe Electric Generating,30.2554,-92.0433,0.0,0.0
USA0056283,Hargis-Hebert Electric Generating,30.1694,-91.9923,0.0,0.0
USA0001396,Coughlin Power Station,30.8439,-92.2611,10.062463858780234,11.023014847714544
USA0055218,Hinds Energy Facility,32.379,-90.2199,4.23971199934433,3.9975684393851307
USA0055395,Crossroads Energy Center,34.183,-90.5621,0.0,0.0
USA0055620,Perryville Power Station,32.6908,-92.0183,5.298807786678286,5.250442206821344
USA0055380,Union Power Station,33.2961,-92.5894,70.98887927096047,48.07142288905046
USA0000170,Lake Catherine,34.4341,-92.9049,0.0,0.0
USA0007825,Fulton (AR),33.6094,-93.7924,0.0,0.0
USA0055176,Eastman Cogeneration Facility,32.4481,-94.6903,3.644840444524942,5.1197387156008265
USA0055664,Harrison County Power Project,32.3958,-94.4367,2.730209184467585,3.826355183946387
USA0001416,Arsenal Hill,32.5181,-93.7611,0.0,0.0
USA0056603,San Jacinto County Peaking Facility,30.4193,-95.0118,0.0,0.0
USA0056604,Hardin County Peaking Facility,30.3038,-94.2526,0.0,0.0
USA0006558,D G Hunter,31.3207,-92.4613,0.0,0.0
USA0055358,Cottonwood Energy Project,30.2588,-93.7353,30.493399321201373,26.725763521603383
USA0003459,Sabine,30.0242,-93.878,71.87736884218091,60.91840604349024
USA0050625,ExxonMobil Beaumont Refinery,30.0636,-94.0753,3.243075214343057,3.913397459399102
USA0055327,Baytown Energy Center,29.7731,-94.9019,23.04714859558854,24.773670495871418
USA0056806,Cedar Bayou 4,29.7516,-94.9231,4.237964682383092,7.784453549623535
USA0003460,Cedar Bayou,29.75,-94.9256,73.98252710983004,63.13827146019987
