Facility Name,State,1995 NOX Emissions (tons),2019 NOX Emissions (tons),1995 vs 2019 NOX Emissions (tons),Latitude (degrees),Longitude (degrees)
Southside,FL,204,,,30.3167,-81.6486
St. Johns River Power,FL,"26,282",,,30.4311,-81.5508
Stanton A,FL,,72.00,,28.4881,-81.1675
Stock Island,FL,,1.00,,24.5636,-81.7342
Suwannee River,FL,590,,,30.3764,-83.1806
Tiger Bay,FL,,71.00,,27.7447,-81.85
Tom G Smith,FL,76,1.00,-75,26.6125,-80.0678
Treasure Coast Energy Center,FL,,38.00,,27.3839,-80.3775
Turkey Point,FL,"6,981",132.00,"-6,849",25.4356,-80.3308
University of Florida,FL,79,87.00,8,29.6397,-82.3486
Vandolah Power Project,FL,,181.00,,27.5242,-81.9236
Vero Beach Municipal,FL,175,,,27.6311,-80.3758
West County Energy Center,FL,,547.00,,26.6986,-80.3747
AL Sandersville Energy Facility,GA,,11.00,,33.1189,-82.8608
Albany Green Energy LLC,GA,,133.00,,31.5492,-84.1114
Allen B Wilson Combustion Turbine Plant,GA,,25.00,,33.138,-81.748
Arkwright,GA,"1,114",,,32.9269,-83.6997
Atkinson,GA,336,,,33.8244,-84.475
Baconton Power,GA,,119.00,,31.3869,-84.0819
Bowen,GA,"42,568",5732.00,"-36,836",34.1256,-84.9192
Chattahoochee Energy Facility,GA,,103.00,,33.407,-85.0387
Dahlberg (Jackson County),GA,,84.00,,34.0386,-83.3972
Doyle Energy Facility,GA,,34.00,,33.8376,-83.6996
Edward L Addison Generating Plant,GA,,71.00,,32.911,-84.3059
"Effingham County Power, LLC",GA,,72.00,,32.2792,-81.2842
Hammond,GA,"8,097",212.00,"-7,885",34.2533,-85.3456
Harllee Branch,GA,"39,932",,,33.1942,-83.2994
Hartwell Energy Facility,GA,,161.00,,34.3387,-82.8207
Hawk Road Energy Facility,GA,,151.00,,33.3577,-84.9912
Jack McDonough,GA,"5,691",486.00,"-5,205",33.8244,-84.475
Kraft,GA,"1,215",,,32.1486,-81.1458
MPC Generating,GA,,7.00,,33.8122,-83.6954
McIntosh (6124),GA,"2,885",339.00,"-2,546",32.3558,-81.1683
McIntosh Combined Cycle Facility,GA,,175.00,,32.3478,-81.1828
McManus,GA,0,104.00,104,31.2125,-81.5458
Mid-Georgia Cogeneration,GA,,84.00,,32.4853,-83.6036
Mitchell (GA),GA,"1,120",,,31.4444,-84.1322
Riverside (734),GA,0,,,32.0833,-81.0958
Robins,GA,0,112.00,112,32.5806,-83.5831
Scherer,GA,"44,617",10068.00,"-34,549",33.0583,-83.8072
Sewell Creek Energy,GA,,213.00,,33.9486,-85.2769
Smarr Energy Facility,GA,,78.00,,32.9856,-83.8464
Sowega Power Project,GA,,55.00,,31.3869,-84.0814
Talbot Energy Facility,GA,,96.00,,32.5892,-84.6917
Tenaska Georgia Generating Station,GA,,24.00,,33.3516,-84.9996
Thomas A. Smith Energy Facility,GA,,197.00,,34.7094,-84.9182
Walton Bainbridge Power Facility,GA,,0.00,,30.9111,-84.5472
Walton County Power,GA,,115.00,,33.8147,-83.6969
Wansley (6052),GA,"16,534",1248.00,"-15,286",33.4124,-85.0345
Wansley (7946),GA,,117.00,,33.4082,-85.0399
Wansley CC (55965),GA,,267.00,,33.4063,-85.0373
Washington County Power,GA,,44.00,,33.0917,-82.9803
Yates,GA,"5,890",815.00,"-5,075",33.4622,-84.8986
Ames,IA,948,97.00,-851,42.0247,-93.6069
Burlington (IA),IA,"1,659",931.00,-728,40.7412,-91.1168
Dayton Avenue Substation,IA,,0.00,,42.0269,-93.5828
Dubuque,IA,"1,044",,,42.506,-90.6527
Earl F Wisdom,IA,101,8.00,-93,43.1606,-95.2569
Electrifarm,IA,,10.00,,42.4407,-92.4205
Emery Station,IA,,71.00,,43.094,-93.2922
Exira Station,IA,,55.00,,41.5131,-94.9189
Fair Station,IA,936,,,41.4569,-90.8233
George Neal North,IA,"20,620",1836.00,"-18,784",42.3251,-96.3797
George Neal South,IA,"11,757",1382.00,"-10,375",42.3022,-96.3622
Greater Des Moines Energy Center,IA,,16.00,,41.5563,-93.5283
Lansing,IA,"2,448",109.00,"-2,339",43.3359,-91.1672
Lime Creek,IA,0,3.00,3,43.2481,-93.2046
Louisa,IA,"4,723",2960.00,"-1,763",41.3153,-91.0936
Marshalltown CTs,IA,,49.00,,42.0474,-92.8594
Marshalltown Generating Station,IA,,67.00,,42.04,-92.87
Milton L Kapp,IA,"2,093",,,41.8081,-90.2345
Muscatine,IA,"4,094",2544.00,"-1,550",41.3917,-91.0569
Ottumwa,IA,"14,829",2063.00,"-12,766",41.0961,-92.5556
Pella,IA,353,,,41.3981,-92.9144
Pleasant Hill Energy Center,IA,0,6.00,6,41.5572,-93.5242
Prairie Creek,IA,"3,144",390.00,"-2,754",41.9439,-91.6386
Riverside (1081),IA,820,5.00,-815,41.5404,-90.4483
Sixth Street,IA,"2,608",,,41.9839,-91.6686
Streeter Station,IA,106,5.00,-101,42.5267,-92.4394
Summit Lake,IA,,30.00,,41.1141,-94.3499
Sutherland,IA,"3,643",,,42.0472,-92.8627
